,timestamp,GPS_INPUT.sysid,GPS_INPUT.compid,GPS_INPUT.time_usec,GPS_INPUT.gps_id,GPS_INPUT.ignore_flags,GPS_INPUT.time_week_ms,GPS_INPUT.time_week,GPS_INPUT.fix_type,GPS_INPUT.lat,GPS_INPUT.lon,GPS_INPUT.alt,GPS_INPUT.hdop,GPS_INPUT.vdop,GPS_INPUT.vn,GPS_INPUT.ve,GPS_INPUT.vd,GPS_INPUT.speed_accuracy,GPS_INPUT.horiz_accuracy,GPS_INPUT.vert_accuracy,GPS_INPUT.satellites_visible,GPS_INPUT.yaw,GPS_INPUT.lat_deg,GPS_INPUT.lon_deg,GPS_INPUT.rate
0,1728407259.2319999,1,220,0,0,185,0,0,3,476190847,-1223624322,0.0,0.699999988079071,2.6473724842071533,0.0,0.0,0.0,0.0,2.6473724842071533,0.0,24,35500,47.6190847,-122.3624322,3.8197096575369414
1,1728407259.485,1,220,0,0,185,0,0,3,476190847,-1223624322,0.0,0.699999988079071,2.6473724842071533,0.0,0.0,0.0,0.0,2.6473724842071533,0.0,24,35500,47.6190847,-122.3624322,3.8022812033701325
2,1728407259.78,1,220,0,0,185,0,0,3,476190841,-1223624335,0.0,0.699999988079071,2.6470067501068115,0.0,0.0,0.0,0.0,2.6470067501068115,0.0,23,35500,47.6190841,-122.3624335,3.8034865638093893
3,1728407260.037,1,220,0,0,185,0,0,3,476190833,-1223624344,0.0,0.699999988079071,2.653388261795044,0.0,0.0,0.0,0.0,2.653388261795044,0.0,23,35600,47.6190833,-122.3624344,3.286147549396369
4,1728407260.28,1,220,0,0,185,0,0,3,476190833,-1223624344,0.0,0.699999988079071,2.653388261795044,0.0,0.0,0.0,0.0,2.653388261795044,0.0,23,35600,47.6190833,-122.3624344,3.3420863133283323
5,1728407260.58,1,220,0,0,185,0,0,3,476190885,-1223624272,0.0,0.699999988079071,2.65053391456604,0.0,0.0,0.0,0.0,2.65053391456604,0.0,23,35500,47.6190885,-122.3624272,3.3768571569503227
6,1728407260.806,1,220,0,0,185,0,0,3,476190885,-1223624272,0.0,0.699999988079071,2.65053391456604,0.0,0.0,0.0,0.0,2.65053391456604,0.0,23,35500,47.6190885,-122.3624272,3.3919864265679878
7,1728407261.0979998,1,220,0,0,185,0,0,3,476190918,-1223624245,0.0,0.699999988079071,2.6535072326660156,0.0,0.0,0.0,0.0,2.6535072326660156,0.0,23,35400,47.6190918,-122.3624245,3.428801974517487
8,1728407261.329,1,220,0,0,185,0,0,3,476190918,-1223624245,0.0,0.699999988079071,2.6535072326660156,0.0,0.0,0.0,0.0,2.6535072326660156,0.0,23,35400,47.6190918,-122.3624245,3.4214026734240197
9,1728407261.6109998,1,220,0,0,185,0,0,3,476190932,-1223624258,0.0,0.699999988079071,2.64992618560791,0.0,0.0,0.0,0.0,2.64992618560791,0.0,23,35400,47.6190932,-122.3624258,3.4370476845342726
