,timestamp,GPS_INPUT.sysid,GPS_INPUT.compid,GPS_INPUT.time_usec,GPS_INPUT.gps_id,GPS_INPUT.ignore_flags,GPS_INPUT.time_week_ms,GPS_INPUT.time_week,GPS_INPUT.fix_type,GPS_INPUT.lat,GPS_INPUT.lon,GPS_INPUT.alt,GPS_INPUT.hdop,GPS_INPUT.vdop,GPS_INPUT.vn,GPS_INPUT.ve,GPS_INPUT.vd,GPS_INPUT.speed_accuracy,GPS_INPUT.horiz_accuracy,GPS_INPUT.vert_accuracy,GPS_INPUT.satellites_visible,GPS_INPUT.yaw,GPS_INPUT.lat_deg,GPS_INPUT.lon_deg,GPS_INPUT.rate
21,1718211426.099,1,220,0,0,185,0,0,3,476176953,-1223604421,0.0,0.6000000238418579,0.8269591331481934,0.0,0.0,0.0,0.0,0.8269591331481934,0.0,26,13700,47.6176953,-122.3604421,3.676470549564461
22,1718211426.353,1,220,0,0,185,0,0,3,476176947,-1223604413,0.0,0.6000000238418579,0.8269591331481934,0.0,0.0,0.0,0.0,0.8269591331481934,0.0,26,14500,47.6176947,-122.3604413,3.6483034639626757
23,1718211426.6529999,1,220,0,0,185,0,0,3,476176957,-1223604395,0.0,0.6000000238418579,0.8576065301895142,0.0,0.0,0.0,0.0,0.8576065301895142,0.0,26,15300,47.6176957,-122.3604395,3.6778227534540116
24,1718211426.8639998,1,220,0,0,185,0,0,3,476176957,-1223604395,0.0,0.6000000238418579,0.8576065301895142,0.0,0.0,0.0,0.0,0.8576065301895142,0.0,26,15300,47.6176957,-122.3604395,3.6596523905051206
25,1718211427.158,1,220,0,0,185,0,0,3,476176937,-1223604395,0.0,0.6000000238418579,0.8251464366912842,0.0,0.0,0.0,0.0,0.8251464366912842,0.0,26,16200,47.6176937,-122.3604395,3.6589827491554807
26,1718211427.372,1,220,0,0,185,0,0,3,476176937,-1223604395,0.0,0.6000000238418579,0.8251464366912842,0.0,0.0,0.0,0.0,0.8251464366912842,0.0,26,16200,47.6176937,-122.3604395,3.6784991478191236
27,1718211427.6399999,1,220,0,0,185,0,0,3,476176937,-1223604395,0.0,0.6000000238418579,0.8251464366912842,0.0,0.0,0.0,0.0,0.8251464366912842,0.0,26,16200,47.6176937,-122.3604395,3.6818851781900195
28,1718211428.1769998,1,220,0,0,185,0,0,3,476176925,-1223604382,0.0,0.6000000238418579,0.8513063192367554,0.0,0.0,0.0,0.0,0.8513063192367554,0.0,26,19200,47.6176925,-122.3604382,3.6771464466032695
29,1718211428.431,1,220,0,0,185,0,0,3,476176925,-1223604382,0.0,0.6000000238418579,0.8513063192367554,0.0,0.0,0.0,0.0,0.8513063192367554,0.0,26,19200,47.6176925,-122.3604382,3.6744441875167575
30,1718211428.71,1,220,0,0,185,0,0,3,476176910,-1223604375,0.0,0.6000000238418579,0.8093333840370178,0.0,0.0,0.0,0.0,0.8093333840370178,0.0,26,19100,47.617691,-122.3604375,3.668378642120456
