,timestamp,GPS_INPUT.sysid,GPS_INPUT.compid,GPS_INPUT.time_usec,GPS_INPUT.gps_id,GPS_INPUT.ignore_flags,GPS_INPUT.time_week_ms,GPS_INPUT.time_week,GPS_INPUT.fix_type,GPS_INPUT.lat,GPS_INPUT.lon,GPS_INPUT.alt,GPS_INPUT.hdop,GPS_INPUT.vdop,GPS_INPUT.vn,GPS_INPUT.ve,GPS_INPUT.vd,GPS_INPUT.speed_accuracy,GPS_INPUT.horiz_accuracy,GPS_INPUT.vert_accuracy,GPS_INPUT.satellites_visible,GPS_INPUT.yaw,GPS_INPUT.lat_deg,GPS_INPUT.lon_deg,GPS_INPUT.rate
22,1728412358.2289999,1,220,0,0,185,0,0,3,476198354,-1223631287,0.0,0.6000000238418579,6.746914863586426,0.0,0.0,0.0,0.0,6.746914863586426,0.0,28,11600,47.6198354,-122.3631287,3.631741440136545
23,1728412358.517,1,220,0,0,185,0,0,3,476198299,-1223631382,0.0,0.6000000238418579,6.7407307624816895,0.0,0.0,0.0,0.0,6.7407307624816895,0.0,28,11900,47.6198299,-122.3631382,3.6483034639626757
24,1728412358.774,1,220,0,0,185,0,0,3,476198299,-1223631382,0.0,0.6000000238418579,6.7407307624816895,0.0,0.0,0.0,0.0,6.7407307624816895,0.0,28,11900,47.6198299,-122.3631382,3.6225322100439645
25,1728412359.0449998,1,220,0,0,185,0,0,3,476198272,-1223631434,0.0,0.6000000238418579,6.715064525604248,0.0,0.0,0.0,0.0,6.715064525604248,0.0,28,12200,47.6198272,-122.3631434,3.4506556222975835
26,1728412359.296,1,220,0,0,185,0,0,3,476198272,-1223631434,0.0,0.6000000238418579,6.715064525604248,0.0,0.0,0.0,0.0,6.715064525604248,0.0,28,12200,47.6198272,-122.3631434,3.631741440136545
27,1728412359.5749998,1,220,0,0,185,0,0,3,476198295,-1223631405,0.0,0.6000000238418579,6.626967430114746,0.0,0.0,0.0,0.0,6.626967430114746,0.0,28,12300,47.6198295,-122.3631405,3.629764071618172
28,1728412359.826,1,220,0,0,185,0,0,3,476198344,-1223631332,0.0,0.6000000238418579,6.568425178527832,0.0,0.0,0.0,0.0,6.568425178527832,0.0,28,12400,47.6198344,-122.3631332,3.649635023793565
29,1728412360.054,1,220,0,0,185,0,0,3,476198344,-1223631332,0.0,0.6000000238418579,6.568425178527832,0.0,0.0,0.0,0.0,6.568425178527832,0.0,28,12400,47.6198344,-122.3631332,3.631741440136545
30,1728412360.322,1,220,0,0,185,0,0,3,476198344,-1223631332,0.0,0.6000000238418579,6.568425178527832,0.0,0.0,0.0,0.0,6.568425178527832,0.0,28,12400,47.6198344,-122.3631332,3.61990943977892
31,1728412360.597,1,220,0,0,185,0,0,3,476198398,-1223631244,0.0,0.6000000238418579,6.565752029418945,0.0,0.0,0.0,0.0,6.565752029418945,0.0,28,12400,47.6198398,-122.3631244,3.642323844337459
