,timestamp,VISION_POSITION_DELTA.sysid,VISION_POSITION_DELTA.compid,VISION_POSITION_DELTA.time_usec,VISION_POSITION_DELTA.time_delta_usec,VISION_POSITION_DELTA.confidence,VISION_POSITION_DELTA.roll_delta,VISION_POSITION_DELTA.pitch_delta,VISION_POSITION_DELTA.yaw_delta,VISION_POSITION_DELTA.x_delta,VISION_POSITION_DELTA.y_delta,VISION_POSITION_DELTA.z_delta,VISION_POSITION_DELTA.roll,VISION_POSITION_DELTA.pitch,VISION_POSITION_DELTA.yaw,VISION_POSITION_DELTA.x,VISION_POSITION_DELTA.y,VISION_POSITION_DELTA.z,VISION_POSITION_DELTA.rate
0,1718211640.322,255,0,0,438772,99.47830963134766,0.04402380436658859,-0.3452869951725006,-3.134190320968628,-0.008081475272774696,-0.003285255515947938,0.0015840624691918492,0.04402380436658859,359.6547130048275,356.8658096790314,-0.008081475272774696,-0.003285255515947938,0.0015840624691918492,9.057972219480744
1,1718211640.444,255,0,0,110980,99.93028259277344,0.000606273824814707,0.0004544098046608269,-0.0013236681697890162,-0.0017876125639304519,-0.000994077417999506,-0.00024346585269086063,0.0446300781914033,359.65516741463216,356.8644860108616,-0.009869087836705148,-0.004279332933947444,0.0013405966165009886,8.856683735416777
2,1718211640.5449998,255,0,0,84692,99.1635971069336,0.0,0.0,0.0,-0.0012524652993306518,-0.0006799530237913132,-0.00031888808007352054,0.0446300781914033,359.65516741463216,356.8644860108616,-0.0111215531360358,-0.004959285957738757,0.001021708536427468,8.817047438646624
3,1718211640.699,255,0,0,111025,99.92556762695312,0.0013197954976931214,0.0006896879058331251,-0.0018673983868211508,-0.001537306234240532,-0.0012031533988192677,-0.00047339234151877463,0.04594987368909642,359.655857102538,356.86261861247476,-0.012658859370276332,-0.006162439356558025,0.0005483161949086934,8.971705356076285
4,1718211640.7849998,255,0,0,104184,99.92337036132812,0.0,0.0,0.0,-0.0014164216117933393,-0.0012169176479801536,-0.0005217241123318672,0.04594987368909642,359.655857102538,356.86261861247476,-0.014075280982069671,-0.0073793570045381784,2.6592082576826215e-05,8.838384551438136
5,1718211640.902,255,0,0,105589,99.9381332397461,0.0007494200835935771,0.0001622374984435737,-0.0023879501968622208,-0.0013263167347759008,-0.0013233897043392062,-0.000555893057025969,0.04669929377269,359.65601934003644,356.8602306622779,-0.015401597716845572,-0.008702746708877385,-0.0005293009744491428,9.101941737038485
6,1718211640.994,255,0,0,107440,99.9246597290039,0.0,0.0,0.0,-0.0013114586472511292,-0.0013873347779735923,-0.0005517288227565587,0.04669929377269,359.65601934003644,356.8602306622779,-0.0167130563640967,-0.010090081486850977,-0.0010810297972057015,9.096078224072825
7,1718211641.097,255,0,0,110556,99.92943572998047,-0.0002757690963335335,-0.00038031619624234736,6.280991077423096,-0.0012000148417428136,-0.0014534565852954984,-0.0005816813209094107,0.046423524676356465,359.6556390238402,3.1412217397009954,-0.017913071205839515,-0.011543538072146475,-0.0016627111181151122,8.947369094700745
8,1718211641.2129998,255,0,0,113231,99.91267395019531,0.0,0.0,0.0,-0.001005265861749649,-0.0015581890475004911,-0.0005318230832926929,0.046423524676356465,359.6556390238402,3.1412217397009954,-0.018918337067589164,-0.013101727119646966,-0.002194534201407805,9.086320285341674
9,1718211641.327,255,0,0,106537,99.90194702148438,-0.0010245823068544269,-0.0005208539078012109,-0.0013248973991721869,-0.0008031807374209166,-0.0015721345553174615,-0.0004240090784151107,0.04539894236950204,359.6551181699324,3.139896842301823,-0.01972151780501008,-0.014673861674964428,-0.002618543279822916,9.009009147518475
10,1718211641.4259999,255,0,0,114129,99.91193389892578,0.0,0.0,0.0,-0.0006521617760881782,-0.0017884704284369946,-0.0004377597360871732,0.04539894236950204,359.6551181699324,3.139896842301823,-0.02037367958109826,-0.016462332103401423,-0.003056303015910089,9.025271402883638
11,1718211641.564,255,0,0,106116,99.91728210449219,3.4439995033608284e-06,-0.00033436817466281354,-0.000782912306021899,-0.0004967316053807735,-0.0017599841812625527,-0.0003527006192598492,0.0454023863690054,359.65478380175773,3.1391139299958013,-0.020870411186479032,-0.018222316284663975,-0.003409003635169938,8.865248998953643
12,1718211641.6829998,255,0,0,112679,99.93321990966797,0.0,0.0,0.0,-0.0002662253682501614,-0.0019058164907619357,-0.00033636298030614853,0.0454023863690054,359.65478380175773,3.1391139299958013,-0.021136636554729193,-0.02012813277542591,-0.0037453666154760867,9.078528995291368
13,1718211641.771,255,0,0,106773,99.93527221679688,-0.0005384174291975796,-0.002205691998824477,-0.0015884533058851957,-3.501858009258285e-05,-0.0018404161091893911,-0.0002682851336430758,0.04486396893980782,359.6525781097589,3.137525476689916,-0.021171655134821776,-0.021968548884615302,-0.0040136517491191626,9.285050878678705
14,1718211641.906,255,0,0,110621,99.92372131347656,0.0,0.0,0.0,0.00017331185517832637,-0.001971337478607893,-0.0001977002393687144,0.04486396893980782,359.6525781097589,3.137525476689916,-0.02099834327964345,-0.023939886363223195,-0.004211351988487877,9.195401492467289
15,1718211641.97,255,0,0,104982,99.94688415527344,-0.000699972384609282,-0.001348035060800612,-0.0021676805336028337,0.00031367511837743223,-0.0017542910063639283,-0.00016508861153852195,0.04416399655519854,359.6512300746981,3.1353577961563133,-0.020684668161266018,-0.025694177369587123,-0.004376440600026399,9.203866221384557
16,1718211642.0809999,255,0,0,111864,99.94173431396484,0.0,0.0,0.0,0.0005640985909849405,-0.001788846799172461,-9.629459964344278e-05,0.04416399655519854,359.6512300746981,3.1353577961563133,-0.020120569570281077,-0.027483024168759584,-0.004472735199669842,9.220839477457682
17,1718211642.222,255,0,0,107616,99.94315338134766,-0.0010231398046016693,-0.001716875471174717,-0.0023045821581035852,0.0006617891485802829,-0.0018248900305479765,1.6242660421994515e-05,0.04314085675059687,359.64951319922693,3.1330532139982097,-0.019458780421700794,-0.02930791419930756,-0.004456492539247847,9.090908893868948
18,1718211642.303,255,0,0,114700,99.9404296875,0.0,0.0,0.0,0.0009238849161192775,-0.0019753470551222563,3.283330443082377e-05,0.04314085675059687,359.64951319922693,3.1330532139982097,-0.018534895505581517,-0.03128326125442982,-0.004423659234817023,9.165902168406983
19,1718211642.431,255,0,0,106400,99.93655395507812,-0.0011308445828035474,-0.0020117186941206455,-0.002004385692998767,0.000980796874500811,-0.0017975429072976112,2.6317056835978292e-05,0.04201001216779332,359.6475014805328,3.131048828305211,-0.017554098631080706,-0.03308080416172743,-0.004397342177981045,9.186954331398532
20,1718211642.5379999,255,0,0,107226,99.93403625488281,0.0,0.0,0.0,0.001019042101688683,-0.0019018243765458465,7.957914203871042e-05,0.04201001216779332,359.6475014805328,3.131048828305211,-0.016535056529392023,-0.034982628538273275,-0.004317763035942335,9.08265155224344
21,1718211642.6999998,255,0,0,108482,99.94451904296875,-0.00022272135538514704,-0.00020301337644923478,-0.0019322189036756754,0.0010337590938434005,-0.0018808301538228989,0.00015888363122940063,0.04178729081240817,359.64729846715636,3.1291166094015352,-0.015501297435548622,-0.036863458692096174,-0.004158879404712934,9.17852167141589
22,1718211642.748,255,0,0,108396,99.92604064941406,0.0,0.0,0.0,0.0011599624995142221,-0.0016861994517967105,0.00019672344205901027,0.04178729081240817,359.64729846715636,3.1291166094015352,-0.0143413349360344,-0.038549658143892884,-0.003962155962653924,9.332710604363806
